,participant_id,group,nativeness,sex,feature,weight
0,5f74af468549be0a901bd70a,english_uk,native,female,emb0,0.5425169467926025
1,5f48b22e88eb74375510b57c,english_uk,native,male,emb0,0.6571306586265564
2,5f53c41a05affe6fdbed5168,english_uk,native,female,emb0,0.6305450797080994
3,60d65a2e6e744e4596cba461,english_uk,native,male,emb0,0.5089881420135498
4,5ea1c0f9b35e1109bb93dd20,english_uk,native,female,emb0,0.4598710834980011
5,609308bde839875a0ed8b8a9,english_uk,native,female,emb0,0.5019235610961914
6,5e94860a9ad2942dc5015711,english_uk,native,female,emb0,0.3750433027744293
7,60c75ff4ee16aa04cfcd60bf,english_uk,native,male,emb0,0.5223842263221741
8,60c7aec75ed5135a58faf813,english_uk,native,female,emb0,0.4964558184146881
9,60d0aebb6fc0867a91db8282,english_uk,native,female,emb0,0.4477396309375763
10,608fef0be7832b05dfd9d56d,english_uk,native,male,emb0,0.6218116283416748
11,6078421a82b88488a16a2b1f,english_uk,native,female,emb0,0.5035804510116577
12,6058dba20257f28be1920c5c,english_uk,native,female,emb0,0.4987193942070007
13,611e6e0371738becff3551d8,english_uk,native,female,emb0,0.6247466206550598
14,61150dc88df7514d99d56af5,english_uk,native,female,emb0,0.535349428653717
15,5fa3828e70d44c68e35ca305,english_uk,native,male,emb0,0.5307894349098206
16,61203db5c472e102f6a31867,english_uk,native,male,emb0,0.4357510209083557
17,602d25c3cc46516b77b98c28,english_uk,native,female,emb0,0.5296434760093689
18,61197b469838f3a6ccfe0b9a,english_uk,native,female,emb0,0.1750300228595733
19,611d378f0cce9add359a8324,english_uk,native,female,emb0,0.5031257271766663
20,60cf278fb23e7b5ac8967490,french,nonnative,female,emb0,0.6009894013404846
21,600816c1eaebcf3751af6865,french,nonnative,female,emb0,0.1768827140331268
22,5fc10a0a31a39e0a308b6194,french,nonnative,female,emb0,0.6397829651832581
23,60698d567b61f5cd0c57b368,french,nonnative,female,emb0,0.5301588177680969
24,60c79f56a6ace233a690c537,french,nonnative,female,emb0,0.5318401455879211
25,5feb5b328422b4722c08843f,french,nonnative,male,emb0,0.5077056288719177
26,5c6c0ed215875900019bf4d8,french,nonnative,male,emb0,0.628911018371582
27,60c7cc3edbfd3121e3b553fb,french,nonnative,male,emb0,0.2484339028596878
28,608ae665000987dee19d8934,french,nonnative,male,emb0,0.5908304452896118
29,60a10e1de3ee3737f08a517c,french,nonnative,female,emb0,0.5153076648712158
30,60cb146b583ee0d79a7e80cc,french,nonnative,male,emb0,0.5017647743225098
31,601efedca5824c3e2767c892,french,nonnative,female,emb0,0.7525231838226318
32,60c9019448ea85dc9d85dbdc,french,nonnative,female,emb0,0.6238215565681458
33,5e70e14f8cd169064e5781e9,french,nonnative,male,emb0,0.4362131357192993
34,6001bef6297b5c0f7f6d089b,french,nonnative,male,emb0,0.2886966466903686
35,60db302f9c0d570c7f2e7653,french,nonnative,female,emb0,0.5469703674316406
36,606601c0d781efb83ac2dce4,french,nonnative,male,emb0,0.624980628490448
37,61070401a557fd863bd0ac26,french,nonnative,male,emb0,0.3393943607807159
38,61090783a01b97fbe95024dc,french,nonnative,female,emb0,0.5005694031715393
39,610bf50184d89a31761e243d,french,nonnative,male,emb0,0.4676719903945923
40,60d5c473efa1cf467e529129,german,nonnative,female,emb0,0.4989912509918213
41,60cb0517890a97786899d2ea,german,nonnative,female,emb0,0.8360869884490967
42,601801e07f813cac4bdde144,german,nonnative,male,emb0,0.6445204019546509
43,60da21dd73dff4888b35564f,german,nonnative,male,emb0,0.5759102702140808
44,5f4cd7926e1f3e8ed56bd215,german,nonnative,male,emb0,0.5080746412277222
45,60d10503b38976552a1b35da,german,nonnative,male,emb0,0.5980240106582642
46,60d440a71dc9476a8ae48cae,german,nonnative,male,emb0,0.6327763795852661
47,60b819266c656fa8a43d5be1,german,nonnative,male,emb0,0.4020629227161407
48,6046c35a85aec60f5a09d11c,german,nonnative,male,emb0,0.6459473371505737
49,60bfc9efc639f29ac485ac6d,german,nonnative,female,emb0,0.7027178406715393
50,60060089125e50636ad6719e,german,nonnative,female,emb0,0.6033539772033691
51,60c9f510282b994f965f122d,german,nonnative,male,emb0,0.5009670853614807
52,5c33373d01439b0001a09cdc,german,nonnative,male,emb0,0.5027703046798706
53,60df43042ab7b3826861bb39,german,nonnative,male,emb0,0.403501808643341
54,5fef28c2feba31d456459420,german,nonnative,female,emb0,0.4981505274772644
55,5f84ace0af0c021529fc4e3d,german,nonnative,male,emb0,0.4480439126491546
56,60140a6677aab7353e504619,german,nonnative,male,emb0,0.6518120169639587
57,5fb6d4a5ed317d13eac3455e,german,nonnative,male,emb0,0.4492314159870147
58,5f58c7ac49483e055a5b96bb,german,nonnative,male,emb0,0.5995845198631287
59,60fdb038bb7b41e60152a00c,german,nonnative,female,emb0,0.2838545739650726
60,5f74af468549be0a901bd70a,english_uk,native,female,emb1,0.912209451198578
61,5f48b22e88eb74375510b57c,english_uk,native,male,emb1,0.5840531587600708
62,5f53c41a05affe6fdbed5168,english_uk,native,female,emb1,0.5963069796562195
63,60d65a2e6e744e4596cba461,english_uk,native,male,emb1,0.5004727244377136
64,5ea1c0f9b35e1109bb93dd20,english_uk,native,female,emb1,0.6317983269691467
65,609308bde839875a0ed8b8a9,english_uk,native,female,emb1,0.8174198865890503
66,5e94860a9ad2942dc5015711,english_uk,native,female,emb1,0.4996970295906067
67,60c75ff4ee16aa04cfcd60bf,english_uk,native,male,emb1,0.380089670419693
68,60c7aec75ed5135a58faf813,english_uk,native,female,emb1,0.6840949058532715
69,60d0aebb6fc0867a91db8282,english_uk,native,female,emb1,0.6199642419815063
70,608fef0be7832b05dfd9d56d,english_uk,native,male,emb1,0.6738962531089783
71,6078421a82b88488a16a2b1f,english_uk,native,female,emb1,0.7586998343467712
72,6058dba20257f28be1920c5c,english_uk,native,female,emb1,0.815712571144104
73,611e6e0371738becff3551d8,english_uk,native,female,emb1,0.6629726886749268
74,61150dc88df7514d99d56af5,english_uk,native,female,emb1,0.8803195357322693
75,5fa3828e70d44c68e35ca305,english_uk,native,male,emb1,0.6179649829864502
76,61203db5c472e102f6a31867,english_uk,native,male,emb1,0.5658130049705505
77,602d25c3cc46516b77b98c28,english_uk,native,female,emb1,0.7591615915298462
78,61197b469838f3a6ccfe0b9a,english_uk,native,female,emb1,0.435499370098114
79,611d378f0cce9add359a8324,english_uk,native,female,emb1,0.6149068474769592
80,60cf278fb23e7b5ac8967490,french,nonnative,female,emb1,0.3735394775867462
81,600816c1eaebcf3751af6865,french,nonnative,female,emb1,0.4627264142036438
82,5fc10a0a31a39e0a308b6194,french,nonnative,female,emb1,0.4995542466640472
83,60698d567b61f5cd0c57b368,french,nonnative,female,emb1,0.4998773634433746
84,60c79f56a6ace233a690c537,french,nonnative,female,emb1,0.4768213331699371
85,5feb5b328422b4722c08843f,french,nonnative,male,emb1,0.5407846570014954
86,5c6c0ed215875900019bf4d8,french,nonnative,male,emb1,0.6155610084533691
87,60c7cc3edbfd3121e3b553fb,french,nonnative,male,emb1,0.4868166744709015
88,608ae665000987dee19d8934,french,nonnative,male,emb1,0.3726619184017181
89,60a10e1de3ee3737f08a517c,french,nonnative,female,emb1,0.4105420708656311
90,60cb146b583ee0d79a7e80cc,french,nonnative,male,emb1,0.4259607195854187
91,601efedca5824c3e2767c892,french,nonnative,female,emb1,0.5082122087478638
92,60c9019448ea85dc9d85dbdc,french,nonnative,female,emb1,0.4715391099452972
93,5e70e14f8cd169064e5781e9,french,nonnative,male,emb1,0.4386098980903625
94,6001bef6297b5c0f7f6d089b,french,nonnative,male,emb1,0.3422416448593139
95,60db302f9c0d570c7f2e7653,french,nonnative,female,emb1,0.4980256855487823
96,606601c0d781efb83ac2dce4,french,nonnative,male,emb1,0.4995029270648956
97,61070401a557fd863bd0ac26,french,nonnative,male,emb1,0.374772846698761
98,61090783a01b97fbe95024dc,french,nonnative,female,emb1,0.4514874517917633
99,610bf50184d89a31761e243d,french,nonnative,male,emb1,0.5184780359268188
100,60d5c473efa1cf467e529129,german,nonnative,female,emb1,0.4987757503986358
101,60cb0517890a97786899d2ea,german,nonnative,female,emb1,0.4987326860427856
102,601801e07f813cac4bdde144,german,nonnative,male,emb1,0.4983527362346649
103,60da21dd73dff4888b35564f,german,nonnative,male,emb1,0.5011313557624817
104,5f4cd7926e1f3e8ed56bd215,german,nonnative,male,emb1,0.4270023107528686
105,60d10503b38976552a1b35da,german,nonnative,male,emb1,0.4372880756855011
106,60d440a71dc9476a8ae48cae,german,nonnative,male,emb1,0.3320232927799225
107,60b819266c656fa8a43d5be1,german,nonnative,male,emb1,0.3753467500209808
108,6046c35a85aec60f5a09d11c,german,nonnative,male,emb1,0.5034262537956238
109,60bfc9efc639f29ac485ac6d,german,nonnative,female,emb1,0.4462175667285919
110,60060089125e50636ad6719e,german,nonnative,female,emb1,0.4990375638008117
