,fold,partition,loss
0,5_0,sex_info,0.006140325247530054
1,5_1,sex_info,0.001754084245784382
2,5_2,sex_info,0.00614564765798864
3,5_3,sex_info,0.0033983394655556776
4,5_4,sex_info,0.0027364642337097678
5,5_0,group_unique,0.0015983856364427673
6,5_1,group_unique,0.007140039276318788
7,5_2,group_unique,0.003930889024121198
8,5_3,group_unique,0.002364765975222838
9,5_4,group_unique,0.003974276173660529
10,5_0,shared,0.006917993079237572
11,5_1,shared,0.00688859611489856
12,5_2,shared,0.00837633429911655
13,5_3,shared,0.01120544362564102
14,5_4,shared,0.01047875205509663
15,5_0,rating_unique,0.02234179397560765
16,5_1,rating_unique,0.017633566753192165
17,5_2,rating_unique,0.021498424999720323
18,5_3,rating_unique,0.017363131577809332
19,5_4,rating_unique,0.02259991881387613
20,5_0,speaker_unique,0.010076630970843548
21,5_1,speaker_unique,0.013838395424207839
22,5_2,speaker_unique,0.012965597802967022
23,5_3,speaker_unique,0.013228458952922795
24,5_4,speaker_unique,0.009289807325906674
25,5_0,raters_unique,0.01022766341931547
26,5_1,raters_unique,0.014264094726446297
27,5_2,raters_unique,0.005540469373377155
28,5_3,raters_unique,0.014577818236775064
29,5_4,raters_unique,0.01220772683385496
