,csvfile_items,csvfile_raters,csvfile_triplets,seed,batch_size,reg_type,max_iter,lr,test_rater,max_workers,verbose,device,num_dims,fit_items,fit_raters,fit_sequence,force_positive,distance,config_path,output_folder,state_dict_path,valid_loss,valid_accuracy,test_loss,test_accuracy,lambda_item,lambda_rater,fold,variables_item,variables_rater,time,train_accuracy,train_loss
10,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_10.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,0.0,0.003162,5_0,,,324.3918743133545,0.6169590643274854,0.8747118558102881
11,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_11.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,0.003162,0.003162,5_0,,,753.3727533817291,0.6169590643274854,0.8747118558102881
12,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_12.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,0.01,0.003162,5_0,,,536.2775509357452,0.6169590643274854,0.8747118558102881
13,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_13.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,0.03162,0.003162,5_0,,,770.9421494007111,0.6169590643274854,0.8747118558102881
14,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_14.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,0.1,0.003162,5_0,,,778.9207985401154,0.6169590643274854,0.8747118558102881
15,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_15.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,0.3162,0.003162,5_0,,,364.56598138809204,0.6169590643274854,0.8747118558102881
16,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_16.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,1.0,0.003162,5_0,,,492.78867959976196,0.6169590643274854,0.8747118558102881
17,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_17.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,3.162,0.003162,5_0,,,832.5639038085938,0.6169590643274854,0.8747118558102881
18,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_18.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,10.0,0.003162,5_0,,,862.3706991672516,0.6169590643274854,0.8747118558102881
19,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_19.pth,0.8836471386123121,0.6130756578947368,0.8877141161968833,0.6145833333333334,31.62,0.003162,5_0,,,248.48155117034912,0.6169590643274854,0.8747118558102881
